GUID f43fdc0b9b60430d93404356d13e3d4c
Type Gun
Rarity Rare
Useable Gun
Slot Secondary
ID 7305

Size_X 2
Size_Y 2
Size_Z 0.375
Size2_Z 0.45

Sight 7306
Magazine 1029

Hook_Sight
Hook_Barrel

Ammo_Min 10
Ammo_Max 25

Safety
Semi
Bursts 3
Auto

Caliber 25

Range 110
Firerate 3
Action Trigger

Player_Damage 33
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 22
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 25
Resource_Damage 15
Object_Damage 15

Durability 0.4

Spread_Aim 0.1
Spread_Hip 0.2

Recoil_Min_X -1
Recoil_Min_Y 2
Recoil_Max_X -2.5
Recoil_Max_Y 3

Recover_X 0.725
Recover_Y 0.725

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.005
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 3

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 3
Blueprint_1_Supply_0_ID 1027
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_1_ID 8
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Supply_2_ID 67
Blueprint_1_Supply_2_Amount 3
Blueprint_1_Tool 76
Blueprint_1_Level 3
Blueprint_1_Skill Craft
Blueprint_1_Build 27
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 7305
Blueprint_2_Product 67
Blueprint_2_Products 3
Blueprint_2_Build 27

Exclude_From_Master_Bundle
