GUID a04c129a6e5a4160a133d13b399d8711
Type Sentry
Rarity Epic
Useable Barricade
Build Sentry
ID 48601

Size_X 2
Size_Y 3
Size_Z 0.57

Health 500
Range 4
Radius 0.1
Offset 1.889

Storage_X 6
Storage_Y 3
Display
Locked
Mode Friendly

Explosion 36

Blueprints 2
Blueprint_0_Type Utilities
Blueprint_0_Supplies 4
Blueprint_0_Supply_0_ID 1372
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_0_Critical
Blueprint_0_Supply_1_ID 151
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 1176
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Supply_3_ID 1450
Blueprint_0_Supply_3_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Blueprint_1_Type Utilities
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 48607
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_0_Critical
Blueprint_1_Build 27

Should_Close_When_Outside_Range true
Infinite_Quality true
