GUID c73ce441c79b41a9b12362eb75a72746

Type Magazine
Rarity Epic
ID 40004

Use_Auto_Icon_Measurements false

Delete_Empty

Size_X 4
Size_Y 2
Size_Z 0.6

Amount 2
Count_Min 2
Count_Max 2

Calibers 1
Caliber_0 40005

Tracer

Range 1
Player_Damage 0
Zombie_Damage 0
Animal_Damage 0
Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0
Explosion 
Explosive

Blueprints 1
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 40004
Blueprint_0_Build 30

