GUID b9760cc427c846f8a26ea36ec34c7493

Type Vehicle
Rarity Legendary
ID 40076

Speed_Min -10
Speed_Max 40

Steering_Angle_Turn_Speed 45
Steer_Min 6
Steer_Max 30

Can_Steal_Battery false

Fuel_Min 6000
Fuel_Max 6000
Fuel 6000

Fuel_Burn_Rate 2

Health_Min 950
Health_Max 1000
Health 1000

Exit 4

Cam_Follow_Distance 12
Bumper_Multiplier 1.8
Passenger_Explosion_Armor 0.8
Bumper_ResourceDamage 50
Bumper_ObjectDamage 85

Drops_Max 0
Drops_Min 0

Trunk_Storage_X 13
Trunk_Storage_Y 13

Explosion_Min_Force_Y 1.2
Explosion_Max_Force_Y 0.9
Explosion_Min_Force_X 0
Explosion_Max_Force_X 0
Explosion_Min_Force_Z 0
Explosion_Max_Force_Z 0

Explosion 6
Invulnerable
Tires_Invulnerable
ShouldExplosionCauseDamage true
ShouldExplosionBurnMaterials true

Carjack_Force_Multiplier 1
Explosion_Force_Multiplier 1.2

WheelConfigurations
[
	{
		WheelColliderPath Tires/Tire_0
		IsColliderSteered true
		IsColliderPowered true
		ModelPath Wheels/Wheel_0
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_1
		IsColliderSteered true
		IsColliderPowered true
		ModelPath Wheels/Wheel_1
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_2
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_2
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_3
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_3
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_4
		IsColliderSteered true
		IsColliderPowered true
		ModelPath Wheels/Wheel_4
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_5
		IsColliderSteered true
		IsColliderPowered true
		ModelPath Wheels/Wheel_5
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_6
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_6
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_7
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_7
		ModelUseColliderPose true
	}
]

ForwardGearRatios
[
	21.4
]
GearShift_Duration 0.5
GearShift_Interval 1.2
GearShift_UpThresholdRPM 3000
GearShift_DownThresholdRPM 1000
EngineIdleRPM 200
EngineMaxRPM 4000
EngineMaxTorque 7.2

ReverseGearRatio 13.2
Brake 7

EngineSound_Type Legacy
EngineSound
{
	IdlePitch 0.9
	IdleVolume 0.8
	MaxPitch 1.1
	MaxVolume 1.1
}

EWheelMotionEffectsMode
{
     BothDirections
}
