GUID 0577f98662f84a75b4b47db4ad236fb5
Type Gun
Rarity Rare
Useable Gun
Slot Secondary
ID 6965

Size_X 3
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Magazine 6966


Ammo_Min 15
Ammo_Max 25

Safety
Semi
Auto

Attachment_Calibers 1
Attachment_Caliber_0 1

Magazine_Calibers 1
Magazine_Caliber_0 240

Range 125
Firerate 6
Action Trigger

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 40
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 20
Vehicle_Damage 35
Resource_Damage 20
Object_Damage 30

Durability 0.4

Spread_Aim 0.05
Spread_Hip 0.1

Recoil_Min_X -0.6
Recoil_Min_Y 2.5
Recoil_Max_X 0.8
Recoil_Max_Y 3.5

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 6965
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27

Exclude_From_Master_Bundle
